1.953007000578865558e-07 2.633852370281184908e-12
1.998512273631540043e-07 2.486473769916896542e-12
2.045076785309565055e-07 2.347344799471005393e-12
2.092727255145832678e-07 2.215997986431851636e-12
2.141488494135170666e-07 2.091999505435674503e-12
2.191385313272406777e-07 1.974940780363184341e-12
2.242444432090433093e-07 1.864432749221602784e-12
2.294692570122141431e-07 1.760109463095620480e-12
2.348160263976550669e-07 1.661619648450556358e-12
2.402872324648488830e-07 1.568643379906093433e-12
2.458859288746975057e-07 1.480869446378752130e-12
2.516149784342964698e-07 1.398008272900115007e-12
2.574776256583540958e-07 1.319782100367393660e-12
2.634769242077722980e-07 1.245932503094565826e-12
2.696159277434528850e-07 1.176216103003396859e-12
2.758978807801042301e-07 1.110401594772420991e-12
2.823264095400473599e-07 1.048267765407743474e-12
2.889045676841841360e-07 9.896120600599842447e-13
2.956359814348356379e-07 9.342385423237667798e-13
3.025242770143228393e-07 8.819631364036309700e-13
3.095730806449667669e-07 8.326127303988610228e-13
3.167862094028948004e-07 7.860231881921698725e-13
3.241672895104279135e-07 7.420412690499058441e-13
3.317203288974999979e-07 7.005204585376184597e-13
3.394495263478511925e-07 6.613220938883932641e-13
3.473586989376086653e-07 6.243176451945748754e-13
3.554520454505127669e-07 5.893842455519125809e-13
3.637341463779162366e-07 5.564048322302138666e-13
3.722092005035592662e-07 5.252708811984364628e-13
3.808815974649882948e-07 4.958794622955491609e-13
3.897561086073626265e-07 4.681324868806681736e-13
3.988375052758415124e-07 4.419377911908460347e-13
4.081303679617777977e-07 4.172091776605509366e-13
4.176398497179433868e-07 3.938640256689584915e-13
4.273709127433039368e-07 3.718251437818646952e-13
4.373287100906314582e-07 3.510194617897029215e-13
4.475183948126978024e-07 3.313782154920366513e-13
4.579455016698878976e-07 3.128359857521431459e-13
4.686157562763926547e-07 2.953309731157836116e-13
4.795345025387904901e-07 2.788056556273016934e-13
4.907076569250788264e-07 2.632050150029913771e-13
5.021411359032551393e-07 2.484773248769825698e-13
5.138410467951231518e-07 2.345736894953075518e-13
5.258134969224869043e-07 2.214481101999883867e-13
5.380649753147628261e-07 2.090569044003796218e-13
5.506017801475610459e-07 1.973591729430254820e-13
5.634307821579110168e-07 1.863159096228422938e-13
5.765588520828418742e-07 1.758904578529121274e-13
5.899926698055766648e-07 1.660484688044865433e-13
6.037394877707574421e-07 1.567571957762220024e-13
6.178065584230261533e-07 1.479858467658550067e-13
6.322015159146375581e-07 1.397052296842576835e-13
6.469318035440402216e-07 1.318879964514985072e-13
6.620052463172953094e-07 1.245082068100862355e-13
6.774300509480763756e-07 1.175412874796839494e-13
6.932140424424449034e-07 1.109642912545353414e-13
7.093660000754938768e-07 1.047552351298807032e-13
7.258941305608969558e-07 9.889366757251417184e-14
7.428075948813601482e-07 9.336001127745092260e-14
